STELE BIO                      | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
OSTEOPREVIX AIR                | esp. A12A CALCIO                              | app VITAMINA OUTRO
PARACETAMOL CAFEINA GER        | esp. N02B NAO NARCOTICOS ANTIPIRETICOS        | app SUPLEMENTO OUTROS
NIMESULIDA GER                 | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app M01A1 ANTI REUMATICOS NAO ESTEROIDAIS PUROS
DIAZEPAM GER                   | esp. N05B HIPNOTICOS SEDATIVOS                | app N05C TRANQUILIZANTES
OFOLIFLEX                      | esp. A12A CALCIO                              | app VITAMINA OUTRO
RHENUKS                        | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
MOBILITY ACTION                | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
CONDROLESS MET                 | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
NAPILLUS NAP                   | esp. R02A PREPARACOES PARA GARGANTA           | app OUTRA CATEGORIA
SATYA STY                      | esp. R02A PREPARACOES PARA GARGANTA           | app OUTRA CATEGORIA
ABOVE                          | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
MUWIZ                          | esp. R05C EXPECTORANTES                       | app VITAMINA OUTRO
SUAVICID                       | esp. D07B ASSOCIACOES DE CORTICOIDES          | app D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED
SUPRASPECTOR ASS               | esp. R05C EXPECTORANTES                       | app B01C1 INIBIDORES DA CICLO OXIGENASE INIBIDORES DA AGREGA
CALTRATE D PFI                 | esp. A12A CALCIO                              | app VITAMINA OUTRO
JAQUE EMS                      | esp. D10B PREPARACOES ANTIACNE ORAIS          | app G03A1 MONOFASICOS MENOR 50 MCG ESTROGENOS
