barcode,descriptions
40141042477,"{""TREONATO DE MAGNESIO 500 MG C/"",""TREONATO DE MAGNESIO 500 MG C/120 CAPS"",""SUPL ALIM TREONATO NFM MAGNESIO 120UN""}"
40141073167,"{""CASTANHA DA INDIA 500MG C/30 C"",""SUPL ALIM CASTANHADAINDIA 500MG X 30CAPS""}"
40141081148,"{""MAGNESIO L-TREONATO 60CPR"",""MAGNESIO L-TREONATO CPR X 60"",""SUPL ALIM L TREONATO MAGNESIO 60UN""}"
40141096821,"{""TRIBULUS POWER TURBO 2800MG 12 UN"",""TRIBULUS POWER TURBO PURO 2800MG C/120 CPS ( FR )"",""TRIBULUS TRIBULUS MACA PERU POWER TURBO 2800MG X 12UN (GEN)""}"
40141149503,"{""Aloe Vera 1000mg com 60 Cápsulas"",""SUPLEMENTO ALIMENTAR FORTLIFE ALOE VERA 1000MG C/ 60CAPS"",""SUPL ALIM MULT FORTLIFE ALOE VERA 1000MG X 60CAPS""}"
40141149510,"{""Carvão Vegetal Ativado 500mg com 60 Cápsulas"",""CARVAO VEGETAL ATIVADO CAPSULAS 500.0 MG  X 60"",""SUPL ALIM FORTLIFE CARVAO VEGETAL ATIVADO 500MG 60CAPS""}"
40141149527,"{""FLEBOFORT 50MG 60 CPR (PINUS P ."",""FLEBOFORT 50MG C60COMP REV FLEBOFORT 50MG C60COMP R"",""FLEBOFORT 50MG 60 CPRS""}"
40141154682,"{""KOALA SLEEP CHOCOLATE 264G"",""Koala Chocolate - Classic Size (264g) - Caffeine Army  Supl"",""SUPLEMENTO ALIMENTAR KOALA CHOCOLATE 264G""}"
40141154811,"{""KOALA SLEEP CHOCOLATE 12G"",""KOALA SLEEP TO GO PO CHOCOLATE 12.0 G X 14"",""SUPLEMENTO ALIMENTAR KOALA SLEEP CHOCOLATE STICK 12G""}"
40141154866,"{""Morning Shot 2.0 Pó Imunidade Melancia 144g"",""Morning Shot - Sabor Melância - Lata 144g - Sublyme"",""SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT MELANCIA 144G""}"
40141154873,"{""Morning Shot 2.0 Pó Imunidade Tangerina 144g"",""MORNING SHOT 2.0 PO IMU TANGE 144.0 G X 1"",""SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT TANGERINA 144G""}"
40141154880,"{""KOALA SLEEP CHOCOLATE 456G"",""SUPLEMENTO PO CHOCOLATE SLEEP LT KOALA 456G"",""SUPLEMENTO ALIMENTAR KOALA SLEEP CHOCOLATE 456G""}"
40141154996,"{""SUP MORNING SHOT 2.0 MELANCIA TRAVEL 6G"",""MORNING SHOT 2.0 PO IMU MEL S 6.0 G X 14"",""SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT MELANCIA STICK 6G""}"
40141155009,"{""MORNING SHOT TANGERI"",""MORNING SHOT 2.0 PO IMU TAN S 6.0 G X 14"",""SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT TANGERINA STICK 6G""}"
40141155320,"{""COBAGLOBAL SENIOR 50+ C/30 CP"",""COBAGLOBAL SENIOR 50+ C30 CP COBAGLOBAL SENIOR 50+ C3"",""SUPL ALIM COBAGLOBAL SENIOR 50 + 30CPRS""}"
40141607362,"{""MACA PERUANA 500MG 60 CAPS HER"",""MACA PERUANA + ZINCO + BORO 60 CAPS 500MG HERBANATUS"",""SUPL ALIM GUDAY MACA PERUANA 500MG X 60CAPS""}"
40141607379,"{""MAGNESIO L-TREONATO 60 CAPS 50 MAGNESIO L-TREONATO 60 CA"",""SUPL ALIM L TREONATO MAGNESIO CAPSULA 60UN""}"
40141607386,"{""ORA PRO NOBIS HERBAN  C/60 CPS H"",""ORA PRO NOBIS C/60 CAPS - HERBANATUS"",""ORA PRO NOBIS HERBANATUS 60CP""}"
40141607430,"{""TRIBULLUS TERRESTRIS 60 CPS (H"",""TRIBULLUS TERRESTRIS + ZINCO E BORO 60 CPS ( UN )"",""SUPL ALIM HERBANATUS TRIBULLUS TERRESTRIS ZINCO BOR 60UN""}"
40141608536,"{""MV 5 MAGNESIOS MULTIVITTA 60CAPS 1000MG"",""MULTIVITTA - 5 MAGNESIO 60 CAP"",""SUPL ALIM MULTIVITTA MAGNESIO CAPSULA 60UN""}"
40141647894,"{""CARVAO VEGETAL ATIVADO 500 MG 60 CPR"",""CARVAO VEGETAL ATIVADO 500MG 6 CARVAO VEGETAL ATIVADO 50"",""SUPL ALIM CARVAO VEGETAL ATIVADO 500MG 60CAPS""}"
40141647948,"{""ECKO CARVAO ATIVADO 60CAPS"",""ECKOLIFE CARVAO VEGETAL ATIVADO 500 MG C/60 CAPS"",""SUPL ALIM ECKOLIF CARVAO ATIVADO 60CAPS""}"
40141750976,"{""Carvofort com 60 Cápsulas"",""CARVOFORT 500 MG 60 CAP - CARVAO ATIV. + PIRIDOXINA 1X"",""CARVOFORT  X 60 CPR (FRT)""}"
40141751805,"{""KOALA SLEEP BAUNILHA 264G"",""SUPLEM ALIM KOALA SLEEP LT 264G BAUNILHA"",""SUPLEMENTO ALIMENTAR KOALA SLEEP CHOCOLATE 264G""}"
40141751836,"{""KOALA SLEEP BAUNILHA 456G"",""KOALA SLEEP BAUNILHA 456 GR CAFFEINE ARM"",""SUPLEMENTO ALIMENTAR KOALA SLEEP BAUNILHA 456G""}"
40141751850,"{""KOALA SLEEP BAUNILHA 12G"",""KOALA SLEEP TO GO PO BAUNILHA 12.0 G X 14"",""SUPLEMENTO ALIMENTAR KOALA SLEEP BAUNILHA STICK 12G""}"
40141774477,"{""NEO PREMIUM FOCO E MEMORIA 500"",""NEO PREMIUM FOCO E MEMORIA 500MG 60CAPS"",""FOCO E MEMORIA 500MG NEO PREMIUM 1UN""}"
40141774583,"{""NEO PREMIUM 5 MAGNESIO 500MG 6"",""NEO PREMIUM 5 MAGNESIO 500MG 6 NEO PREMIUM 5 MAGNESIO 50"",""SUPL ALIM NEO PREMIUM MAGNESIO 60UN""}"
40141774606,"{""NEO PREMIUM MAGNESIO TREONATO ."",""MAGNESIO TREONATO CAPSULAS 260.0 MG  X 60"",""SUPL ALIM MAGNESIO TREONATO NEO 60UN""}"
40141774798,"{""CENTRUSUPER NEURO SUPER B12 60CPS  .CEN"",""SUPL ALIM MULT CENTRUSUPER NEURO B12 60CP""}"
40141774804,"{""CALCIO 600 + D3 400MG 60 CPS S ."",""CALCIO 600 + D3 400 60 CPS SUA CALCIO 600 + D3 400 60 CP"",""SUPL ALIM SUAV NUTRITION CALCIO COMPRIMIDO 60UN""}"
40141774996,"{""Good Vit Pó Nutri + Sênior Vitamina de Frutas 400g"",""GOOD VIT NUTRI + SENIOR VIT FR GOOD VIT NUTRI + SENIOR V"",""SUPLEMENTO ALIM NUTRI+SENIOR GOOD VIT 400G""}"
40141774996,"{""Good Vit Pó Nutri + Sênior Vitamina de Frutas 400g"",""GOOD VIT NUTRI + SENIOR VIT FR GOOD VIT NUTRI + SENIOR V"",""SUPLEMENTO ALIM NUTRI+SENIOR GOOD VIT 400G""}"
40141775016,"{""Good Vit Pó Nutri + Sênior Vitamina de Frutas 800g"",""GOOD VIT NUTRI + SENIOR VIT FR GOOD VIT NUTRI + SENIOR V"",""SUPL ALIM GOOD VIT NUTRI SENIOR VIT FRUTAS 800G""}"
40141775207,"{""Good Vit Psyllium 500mg com 60 Cápsulas"",""GOOD VIT PSYLLIUM 60CAPS - . GOOD VIT PSYLLIUM 60CAPS"",""GOOD VIT VIT PSYLLIUM 500MG 60CP""}"
40141775238,"{""LICOPENO + SELENIO GOOD 60CPS"",""GOOD VIT LICOPENO + SELENIO 60CAPS - . LICOPENO SELENIO"",""SUPL ALIM GOOD VIT LICOPENO SELENIO 60UN""}"
40141775504,"{""NUTRA VITTON MAGNESIO QUELATO"",""NUTRA VITTON MAGNE QUEL C/60CP"",""SUPL ALIM NUTRA VITTON MAGNESIO QUELATO""}"
40141775511,"{""NUTRA VITTON VIT C+ZINCO 60CP"",""NUTRA VITTON VITAMINA C + ZINCO 60CPS"",""SUPL ALIM NUTRA VITTON VIT C+ ZINCO 60CAPS""}"
