fabricante	Marca	Algoritmo Marca Propia	Est Mer 6 Descripcion	EST_MER_6_CODIGO	Est Mer 7 Descripcion	Est Mer Codigo	Imp venta últ 24 meses	Qtd Sku	
HALEON	COREGA HAL	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	2.616	1	a
APISVIDA	RELAMPAGO	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	2.612	1	a
PHARLAB	CLOR DE METOCLOPRAMIDA PHA	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	2.611	1	a
HYPERA PHARMA	NISTATINA NEO	NAO E MARCA PROPIA	A01B ANTIFUNGICOS ORAIS TOPICOS	.3.12.2.1.2	A01B ANTIFUNGICOS ORAIS TOPICOS	.3.12.2.1.2.1	2.592	1	a
EMS PHARMA	ESOP NVQ	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	2.515	1	a
THEODORO F SOBRAL E CIA	SOBRAL SOB	NAO E MARCA PROPIA	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1.1	2.514	1	a
PHARLAB	CLOR DE LOPERAMIDA PHA	NAO E MARCA PROPIA	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6.1	2.513	1	a
CIMED	METFORMED CIM	NAO E MARCA PROPIA	A10J BIGUANIDA A DIABETICOS	.3.12.2.10.4	A10J1 BIGUANIDA SOLA A DIABETICOS	.3.12.2.10.4.1	2.471	1	a
CIFARMA	OSS-FOR	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.448	2	a
RAIA DROGASIL SA	BWELL RDF	MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.355	1	a
RAIA DROGASIL SA	RAIA DROGASIL SA RDF	MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.342	1	a
SHOOPNATU	SHOOPNATU	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	2.297	1	a
ASPEN	ALCACHOFRA ASP	NAO E MARCA PROPIA	A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR	.3.12.2.5.1	A05A1 COLAGOGOS	.3.12.2.5.1.1	2.280	2	a
LABORATORIO GLOBO	LACTUZ GLO	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	2.272	1	a
HYPERA PHARMA	SILIBOM NEO	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	2.264	1	a
UNIFABRA	POLITABS	MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.231	1	a
SANDOZ	PANTOPRAZOL SDZ	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	2.206	1	a
HERTZ FARMACEUTICA	CALCIODEX HEZ	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.192	3	a
HYPERA PHARMA	METIOCOLIN B12 NEO	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	2.160	1	a
LAPON	CENTROPLEX CALCIO + VIT D LAP	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.127	1	a
DUOM	DOLOMITA COM VITAMINA C	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.066	1	a
VECTOR NUTRI	CALCIONUTRI VEC	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.057	2	a
ADIUM	CLOR DE METILFENIDATO ADI	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D3 VITAMINA B1	.3.12.2.11.4.1	2.027	1	a
MULTINATURE	MULTINATURE	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.014	2	a
BIOSINTETICA	GLIMEPIRIDA BIS	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	2.013	2	a
SIN PROVEEDOR ASOCIADO	CARBONATO DE CALCIO + VIT.D3 IMC	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	2.011	1	a
EMS PHARMA	OMEPRAZIN EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	1.974	2	a
