PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Nevirapina;NEVIRAPINA;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
Rilpivirina;RILPIVIRINA;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
Etambutol;ETAMBUTOL;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Isoniazida;ISONIAZIDA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Pirazinamida;PIRAZINAMIDA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Rifampicina;RIFAMPICINA;RIFAMPICINA RIFAMICINA;J01M RIFAMPICINA RIFAMICINA;;;
Bedaquilina;BEDAQUILINA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Etionamida;ETIONAMIDA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Daclatasvir;DACLATASVIR;ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;J05D1 ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;SIM;;
Entecavir;ENTECAVIR;ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;J05D1 ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;SIM;;
Ledipasvir;LEDIPASVIR;ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;J05D1 ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;SIM;;
Sofosbuvir;SOFOSBUVIR;ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;J05D1 ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA;SIM;;
Aciclovir;ACICLOVIR;ANTIVIRAL PARA HERPES;J05B3 ANTIVIRAL PARA HERPES;SIM;;
Fanciclovir;FANCICLOVIR;ANTIVIRAL PARA HERPES;J05B3 ANTIVIRAL PARA HERPES;SIM;;
Valaciclovir;VALACICLOVIR;ANTIVIRAL PARA HERPES;J05B3 ANTIVIRAL PARA HERPES;SIM;;
Baloxavir;BALOXAVIR;ANTIVIRAL PARA INFLUENZA;J05B4 ANTIVIRAL PARA INFLUENZA;SIM;;
Oseltamivir;OSELTAMIVIR;ANTIVIRAL PARA INFLUENZA;J05B4 ANTIVIRAL PARA INFLUENZA;SIM;;
Zanamivir;ZANAMIVIR;ANTIVIRAL PARA INFLUENZA;J05B4 ANTIVIRAL PARA INFLUENZA;SIM;;
Clonidina;CLONIDINA;ANTIHIPERTENSIVOS PUROS DE ACAO CENTRAL;C02A1 ANTIHIPERTENSIVOS PUROS DE ACAO CENTRAL;SIM;;
Metildopa;METILDOPA;ANTIHIPERTENSIVOS PUROS DE ACAO CENTRAL;C02A1 ANTIHIPERTENSIVOS PUROS DE ACAO CENTRAL;SIM;;
Doxazosina;DOXAZOSINA;ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;C02A2 ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;SIM;;
Prazosina;PRAZOSINA;ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;C02A2 ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;SIM;;
Terazosina;TERAZOSINA;ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;C02A2 ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;SIM;;
Atenolol;ATENOLOL;AGENTES BETA BLOQUEADORES PUROS;C07A AGENTES BETA BLOQUEADORES PUROS;SIM;;
Bisoprolol;BISOPROLOL;AGENTES BETA BLOQUEADORES PUROS;C07A AGENTES BETA BLOQUEADORES PUROS;SIM;;
Carvedilol;CARVEDILOL;AGENTES BETA BLOQUEADORES PUROS;C07A AGENTES BETA BLOQUEADORES PUROS;SIM;;
Metoprolol;METOPROLOL;AGENTES BETA BLOQUEADORES PUROS;C07A AGENTES BETA BLOQUEADORES PUROS;SIM;;ANTIARRITMICOS
Nebivolol;NEBIVOLOL;AGENTES BETA BLOQUEADORES PUROS;C07A AGENTES BETA BLOQUEADORES PUROS;SIM;;
Propranolol;PROPRANOLOL;AGENTES BETA BLOQUEADORES PUROS;C07A AGENTES BETA BLOQUEADORES PUROS;SIM;;ANTIARRITMICOS
Anlodipino;ANLODIPINO;ANTAGONISTAS DO CALCIO PUROS;C08A ANTAGONISTAS DO CALCIO PUROS;SIM;;
Diltiazem;DILTIAZEM;ANTAGONISTAS DO CALCIO PUROS;C08A ANTAGONISTAS DO CALCIO PUROS;SIM;;ANTIARRITMICOS
Felodipino;FELODIPINO;ANTAGONISTAS DO CALCIO PUROS;C08A ANTAGONISTAS DO CALCIO PUROS;SIM;;
Nifedipino;NIFEDIPINO;ANTAGONISTAS DO CALCIO PUROS;C08A ANTAGONISTAS DO CALCIO PUROS;SIM;;
Verapamil;VERAPAMIL;ANTAGONISTAS DO CALCIO PUROS;C08A ANTAGONISTAS DO CALCIO PUROS;SIM;;ANTIARRITMICOS
Candesartana;CANDESARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Irbesartana;IRBESARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Losartana;LOSARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Olmesartana;OLMESARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Telmisartana;TELMISARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Valsartana;VALSARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Clortalidona;CLORTALIDONA;TIAZIDAS E ANALOGOS PUROS;C03A3 TIAZIDAS E ANALOGOS PUROS;SIM;;
Hidroclorotiazida;HIDROCLOROTIAZIDA;TIAZIDAS E ANALOGOS PUROS;C03A3 TIAZIDAS E ANALOGOS PUROS;SIM;;
Indapamida;INDAPAMIDA;TIAZIDAS E ANALOGOS PUROS;C03A3 TIAZIDAS E ANALOGOS PUROS;SIM;;
Captopril;CAPTOPRIL;INIBIDORES ACE PUROS;C09A INIBIDORES ACE PUROS;SIM;;
Enalapril;ENALAPRIL;INIBIDORES ACE PUROS;C09A INIBIDORES ACE PUROS;SIM;;
Fosinopril;FOSINOPRIL;INIBIDORES ACE PUROS;C09A INIBIDORES ACE PUROS;SIM;;
Lisinopril;LISINOPRIL;INIBIDORES ACE PUROS;C09A INIBIDORES ACE PUROS;SIM;;
Perindopril;PERINDOPRIL;INIBIDORES ACE PUROS;C09A INIBIDORES ACE PUROS;SIM;;
Ramipril;RAMIPRIL;INIBIDORES ACE PUROS;C09A INIBIDORES ACE PUROS;SIM;;
Alisquireno;ALISQUIRENO;INIBIDORES DIRETOS DE TROMBINA;B01E INIBIDORES DIRETOS DE TROMBINA;;;
Hidralazina;HIDRALAZINA;ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;C02A2 ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;SIM;;
Minoxidil;MINOXIDIL;ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;C02A2 ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA;SIM;;
Ácido acetilsalicílico (AAS);ACIDO ACETILSALICILICO|AAS;INIBIDORES DA CICLO OXIGENASE INIBIDORES DA AGREGA;B01C1 INIBIDORES DA CICLO OXIGENASE INIBIDORES DA AGREGA;SIM;;
Abciximabe;ABCIXIMABE;ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;B01C2 ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;SIM;;
Eptifibatida;EPTIFIBATIDA;ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;B01C2 ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;SIM;;
Tirofibana;TIROFIBANA;ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;B01C2 ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;SIM;;
Clopidogrel;CLOPIDOGREL;ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;B01C2 ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;SIM;;
Prasugrel;PRASUGREL;ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;B01C2 ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;SIM;;
Ticagrelor;TICAGRELOR;ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;B01C2 ANTAGONISTAS DOS RECEPTORES ADP INIBIDORES PLAQUET;SIM;;
Flecainida;FLECAINIDA;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Lidocaína;LIDOCAINA;ANESTESICOS LOCAIS TOPICOS;;SIM;SIM;"ANTIARRITMICOS; ANESTESICOS LOCAIS; ANTIARRITMICOS"
Propafenona;PROPAFENONA;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Quinidina;QUINIDINA;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Esmolol;ESMOLOL;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Amiodarona;AMIODARONA;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Dronedarona;DRONEDARONA;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Sotalol;SOTALOL;ANTIARRITMICOS;C01B ANTIARRITMICOS;SIM;;
Adenosina;ADENOSINA;ANTIARRITMICOS;C01B ANTIARRITMICOS;;;
Digoxina;DIGOXINA;GLICOSIDEOS CARDIACOS PUROS;C01A1 GLICOSIDEOS CARDIACOS PUROS;SIM;;ANTIARRITMICOS
Warfarina;WARFARINA;VITAMINA K;B02B1 VITAMINA K;;;
Apixabana;APIXABANA;INIBIDOR DIRETO DO FATOR XA;B01F INIBIDOR DIRETO DO FATOR XA;SIM;;
Dabigatrana;DABIGATRANA;INIBIDOR DIRETO DO FATOR XA;B01F INIBIDOR DIRETO DO FATOR XA;SIM;;
Edoxabana;EDOXABANA;INIBIDOR DIRETO DO FATOR XA;B01F INIBIDOR DIRETO DO FATOR XA;SIM;;
Rivaroxabana;RIVAROXABANA;INIBIDOR DIRETO DO FATOR XA;B01F INIBIDOR DIRETO DO FATOR XA;SIM;;
Dalteparina;DALTEPARINA;HEPARINAS FRACIONADAS;B01B2 HEPARINAS FRACIONADAS;;;
Enoxaparina;ENOXAPARINA;HEPARINAS FRACIONADAS;B01B2 HEPARINAS FRACIONADAS;;;
Fondaparinux;FONDAPARINUX;HEPARINAS FRACIONADAS;B01B2 HEPARINAS FRACIONADAS;;;
Heparina não fracionada;HEPARINA NAO FRACIONADA;HEPARINAS NAO FRACIONADAS;B01B1 HEPARINAS NAO FRACIONADAS;;;
Bumetanida;BUMETANIDA;DIURETICOS DE ALCA PUROS;C03A2 DIURETICOS DE ALCA PUROS;;;
Furosemida;FUROSEMIDA;DIURETICOS DE ALCA PUROS;C03A2 DIURETICOS DE ALCA PUROS;;;
Torasemida;TORASEMIDA;DIURETICOS DE ALCA PUROS;C03A2 DIURETICOS DE ALCA PUROS;;;
Acetazolamida;ACETAZOLAMIDA;DIURETICOS DE ALCA PUROS;C03A2 DIURETICOS DE ALCA PUROS;SIM;;
Amilorida;AMILORIDA;AGENTES POUPADORES DE POTASSIO PUROS;C03A1 AGENTES POUPADORES DE POTASSIO PUROS;;;
Eplerenona;EPLERENONA;AGENTES POUPADORES DE POTASSIO PUROS;C03A1 AGENTES POUPADORES DE POTASSIO PUROS;;;
Espironolactona;ESPIRONOLACTONA;AGENTES POUPADORES DE POTASSIO PUROS;C03A1 AGENTES POUPADORES DE POTASSIO PUROS;;;HORMONIOS SEXUAIS TOPICOS
Atorvastatina;ATORVASTATINA;ESTATINASINIB DA HMG COA REDUTASE;C10A1 ESTATINASINIB DA HMG COA REDUTASE;SIM;;
Fluvastatina;FLUVASTATINA;ESTATINASINIB DA HMG COA REDUTASE;C10A1 ESTATINASINIB DA HMG COA REDUTASE;SIM;;
Pravastatina;PRAVASTATINA;ESTATINASINIB DA HMG COA REDUTASE;C10A1 ESTATINASINIB DA HMG COA REDUTASE;SIM;;
Rosuvastatina;ROSUVASTATINA;ESTATINASINIB DA HMG COA REDUTASE;C10A1 ESTATINASINIB DA HMG COA REDUTASE;SIM;;
Sinvastatina;SINVASTATINA;ESTATINASINIB DA HMG COA REDUTASE;C10A1 ESTATINASINIB DA HMG COA REDUTASE;SIM;;
Bezafibrato;BEZAFIBRATO;FIBRATOS;C10A2 FIBRATOS;SIM;;
Fenofibrato;FENOFIBRATO;FIBRATOS;C10A2 FIBRATOS;SIM;;
Genfibrozila;GENFIBROZILA;FIBRATOS;C10A2 FIBRATOS;SIM;;
Ezetimiba;EZETIMIBA;DEMAIS REGULADORES DE COLESTEROL E TRIGLICERIDES;C10A9 DEMAIS REGULADORES DE COLESTEROL E TRIGLICERIDES;SIM;;
Alirocumabe;ALIROCUMABE;INIBIDORES PCSK9;C10A4 INIBIDORES PCSK9;SIM;;
Evolocumabe;EVOLOCUMABE;INIBIDORES PCSK9;C10A4 INIBIDORES PCSK9;SIM;;
Inclisirana;INCLISIRANA;INIBIDORES PCSK9;C10A4 INIBIDORES PCSK9;SIM;;
Colestiramina;COLESTIRAMINA;DEMAIS REGULADORES DE COLESTEROL E TRIGLICERIDES;C10A9 DEMAIS REGULADORES DE COLESTEROL E TRIGLICERIDES;SIM;;
Sacubitril/Valsartana;SACUBITRIL + VALSARTANA;ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;SIM;;
Dapagliflozina;DAPAGLIFLOZINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;SIM;;
Empagliflozina;EMPAGLIFLOZINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;SIM;;
Milrinona;MILRINONA;ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;C01C1 ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;SIM;;
Adrenalina;ADRENALINA;ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;C01C1 ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;SIM;;
Dobutamina;DOBUTAMINA;ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;C01C1 ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;SIM;;
Dopamina;DOPAMINA;ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;C01C1 ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;SIM;;
Noradrenalina;NORADRENALINA;ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;C01C1 ESTIMULANTES CARDIACOS EXCL AGENTES DOPAMINERGICOS;SIM;;
Ivabradina;IVABRADINA;TERAPIA CORONARIA EXCLUINDO ANTAGONISTAS DO CALCIO;C01D TERAPIA CORONARIA EXCLUINDO ANTAGONISTAS DO CALCIO;SIM;;
Isossorbida (mono/dinitrato);ISOSSORBIDA;NITRITOS E NITRATOS;C01E NITRITOS E NITRATOS;SIM;;
Nitroglicerina;NITROGLICERINA;NITRITOS E NITRATOS;C01E NITRITOS E NITRATOS;SIM;;
Adapaleno;ADAPALENO;PREPARACOES ANTIACNE TOPICOS;D10A PREPARACOES ANTIACNE TOPICOS;SIM;;ANTIHISTAMINICOS SISTEMICOS
Clindamicina tópica;CLINDAMICINA + CREME|CR|POMADA|POM|GEL|LOCAO|SPRAY|TOPICO|TOPICA|DERM;PREPARACOES ANTIACNE TOPICOS;D10A PREPARACOES ANTIACNE TOPICOS;SIM;;
Peróxido de benzoíla;PEROXIDO DE BENZOILA;PREPARACOES ANTIACNE TOPICOS;D10A PREPARACOES ANTIACNE TOPICOS;SIM;;
Ácido azelaico;ACIDO AZELAICO;PREPARACOES ANTIACNE TOPICOS;D10A PREPARACOES ANTIACNE TOPICOS;SIM;;
Gentamicina tópica;GENTAMICINA + CREME|CR|POMADA|POM|GEL|LOCAO|SPRAY|TOPICO|TOPICA|DERM;ANTIBACTERIANOS TOPICOS;D06A ANTIBACTERIANOS TOPICOS;;;
Mupirocina;MUPIROCINA;ANTIBACTERIANOS TOPICOS;D06A ANTIBACTERIANOS TOPICOS;;;
Neomicina;NEOMICINA;ANTIBACTERIANOS TOPICOS;D06A ANTIBACTERIANOS TOPICOS;;;
Ácido fusídico;ACIDO FUSIDICO;ANTIBACTERIANOS TOPICOS;D06A ANTIBACTERIANOS TOPICOS;;;
Cetoconazol tópico;CETOCONAZOL + CREME|CR|POMADA|POM|GEL|LOCAO|SPRAY|TOPICO|TOPICA|DERM;ANTIFUNGICOS DERMATOLOGICOS TOPICOS;D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS;;;
Clotrimazol;CLOTRIMAZOL;ANTIFUNGICOS DERMATOLOGICOS TOPICOS;D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS;;;
Miconazol;MICONAZOL;ANTIFUNGICOS DERMATOLOGICOS TOPICOS;D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS;;;
Terbinafina tópica;TERBINAFINA + CREME|CR|POMADA|POM|GEL|LOCAO|SPRAY|TOPICO|TOPICA|DERM;ANTIFUNGICOS DERMATOLOGICOS TOPICOS;D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS;;;
Adalimumabe;ADALIMUMABE;MEDICAMENTOS ANTI TNF;L04B MEDICAMENTOS ANTI TNF;SIM;;"PRODUTOS ANTIPSORIASE TOPICOS; OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA"
Calcipotriol;CALCIPOTRIOL;PRODUTOS ANTIPSORIASE TOPICOS;D05A PRODUTOS ANTIPSORIASE TOPICOS;SIM;;
Ixequizumabe;IXEQUIZUMABE;PRODUTOS ANTIPSORIASE TOPICOS;D05A PRODUTOS ANTIPSORIASE TOPICOS;SIM;;
Secuquinumabe;SECUQUINUMABE;PRODUTOS ANTIPSORIASE TOPICOS;D05A PRODUTOS ANTIPSORIASE TOPICOS;SIM;;INIBIDORES DE INTERLEUCINA
Ustequinumabe;USTEQUINUMABE;PRODUTOS ANTIPSORIASE TOPICOS;D05A PRODUTOS ANTIPSORIASE TOPICOS;SIM;;OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA
Betametasona;BETAMETASONA;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;SIM;;
Clobetasol;CLOBETASOL;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;SIM;;
Desonida;DESONIDA;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;SIM;;
Hidrocortisona;HIDROCORTISONA;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;SIM;;ASSOCIACOES CORTICOSTEROIDES SISTEMICOS
Mometasona;MOMETASONA;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;SIM;;
Deltametrina;DELTAMETRINA;ECTOPARASITICIDAS INCL ESCAB;P03A ECTOPARASITICIDAS INCL ESCAB;SIM;;
Lindano;LINDANO;ECTOPARASITICIDAS INCL ESCAB;P03A ECTOPARASITICIDAS INCL ESCAB;SIM;;
Permetrina;PERMETRINA;ECTOPARASITICIDAS INCL ESCAB;P03A ECTOPARASITICIDAS INCL ESCAB;SIM;;
Acitretina;ACITRETINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;;;
Isotretinoína;ISOTRETINOINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;;;
Tretinoína;TRETINOINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;;;
Etinilestradiol+Drospirenona;ETINILESTRADIOL + DROSPIRENONA;MONOFASICOS MENOR 50 MCG ESTROGENOS;G03A1 MONOFASICOS MENOR 50 MCG ESTROGENOS;SIM;;
Etinilestradiol+Levonorgestrel;ETINILESTRADIOL + LEVONORGESTREL;MONOFASICOS MENOR 50 MCG ESTROGENOS;G03A1 MONOFASICOS MENOR 50 MCG ESTROGENOS;SIM;;
Desogestrel;DESOGESTREL;PROGESTAGENOS ORAIS PUROS;G03A5 PROGESTAGENOS ORAIS PUROS;SIM;;
Levonorgestrel (DIU/minipílula);LEVONORGESTREL;PROGESTAGENOS ORAIS PUROS;G03A5 PROGESTAGENOS ORAIS PUROS;SIM;;HORMONIOS SEXUAIS TOPICOS
Dulaglutida;DULAGLUTIDA;AGONISTAS GLP 1;A10S AGONISTAS GLP 1;SIM;;
Exenatida;EXENATIDA;AGONISTAS GLP 1;A10S AGONISTAS GLP 1;SIM;;
Liraglutida;LIRAGLUTIDA;AGONISTAS GLP 1;A10S AGONISTAS GLP 1;SIM;;PREPARADOS ANOREXICOS EXETO OS DIETETICOS
Semaglutida;SEMAGLUTIDA;AGONISTAS GLP 1;A10S AGONISTAS GLP 1;SIM;;PREPARADOS ANOREXICOS EXETO OS DIETETICOS
Metformina;METFORMINA;INIBIDOR SGLT2 ANTIDIABETICOS COM BIGUANIDAS;A10P3 INIBIDOR SGLT2 ANTIDIABETICOS COM BIGUANIDAS;;;
Pioglitazona;PIOGLITAZONA;GLITAZONA SOLA;A10K1 GLITAZONA SOLA;SIM;;
Linagliptina;LINAGLIPTINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;;;
Saxagliptina;SAXAGLIPTINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;;;
Sitagliptina;SITAGLIPTINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;;;
Vildagliptina;VILDAGLIPTINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;;;
Acarbose;ACARBOSE;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;;;
Canagliflozina;CANAGLIFLOZINA;INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES;;;
Glibenclamida;GLIBENCLAMIDA;SULFONILOUREIA A DIABETICOS;A10H SULFONILOUREIA A DIABETICOS;SIM;;
Gliclazida;GLICLAZIDA;SULFONILOUREIA A DIABETICOS;A10H SULFONILOUREIA A DIABETICOS;SIM;;
Glimepirida;GLIMEPIRIDA;SULFONILOUREIA A DIABETICOS;A10H SULFONILOUREIA A DIABETICOS;SIM;;
Carbimazol;CARBIMAZOL;ANTI TIREOIDEANOS;H03B ANTI TIREOIDEANOS;SIM;;
Metimazol;METIMAZOL;ANTI TIREOIDEANOS;H03B ANTI TIREOIDEANOS;SIM;;
Propiltiouracila;PROPILTIOURACILA;ANTI TIREOIDEANOS;H03B ANTI TIREOIDEANOS;SIM;;
Dexametasona;DEXAMETASONA;ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;;;
Metilprednisolona;METILPREDNISOLONA;ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;;;
Prednisolona;PREDNISOLONA;ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;;;
Prednisona;PREDNISONA;ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;;;
Fludrocortisona;FLUDROCORTISONA;ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;SIM;;
Colchicina;COLCHICINA;ANTIGOTOSOS;M04A ANTIGOTOSOS;SIM;;
Alopurinol;ALOPURINOL;ANTIGOTOSOS;M04A ANTIGOTOSOS;SIM;;
Febuxostate;FEBUXOSTATE;ANTIGOTOSOS;M04A ANTIGOTOSOS;SIM;;
Benzobromarona;BENZOBROMARONA;ANTIGOTOSOS;M04A ANTIGOTOSOS;SIM;;
Probenecida;PROBENECIDA;ANTIGOTOSOS;M04A ANTIGOTOSOS;SIM;;
Testosterona;TESTOSTERONA;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Undecanoato de testosterona;UNDECANOATO DE TESTOSTERONA;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Ciproterona;CIPROTERONA;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Dutasterida;DUTASTERIDA;INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;G04C3 INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;SIM;;HORMONIOS SEXUAIS TOPICOS
Finasterida;FINASTERIDA;INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;G04C3 INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;SIM;;HORMONIOS SEXUAIS TOPICOS
Estradiol;ESTRADIOL;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Estrogênios conjugados;ESTROGENIOS CONJUGADOS;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Medroxiprogesterona;MEDROXIPROGESTERONA;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Noretisterona;NORETISTERONA;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Progesterona;PROGESTERONA;HORMONIOS SEXUAIS TOPICOS;G02F HORMONIOS SEXUAIS TOPICOS;;;
Levotiroxina;LEVOTIROXINA;PREPARADOS DE TIREOIDE;H03A PREPARADOS DE TIREOIDE;SIM;;
Liotironina;LIOTIRONINA;PREPARADOS DE TIREOIDE;H03A PREPARADOS DE TIREOIDE;SIM;;
Insulina Degludeca;INSULINA DEGLUDECA;INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;A10C2 INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;;;
