PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Sertralina;SERTRALINA;A DEPRESIVOS SSRI;N06A4 A DEPRESIVOS SSRI;SIM;;
Amitriptilina;AMITRIPTILINA;A DEPRESSIVOS TODOS OS OUTROS;N06A9 A DEPRESSIVOS TODOS OS OUTROS;SIM;;
Clomipramina;CLOMIPRAMINA;A DEPRESSIVOS TODOS OS OUTROS;N06A9 A DEPRESSIVOS TODOS OS OUTROS;SIM;;
Imipramina;IMIPRAMINA;A DEPRESSIVOS TODOS OS OUTROS;N06A9 A DEPRESSIVOS TODOS OS OUTROS;SIM;;
Nortriptilina;NORTRIPTILINA;A DEPRESSIVOS TODOS OS OUTROS;N06A9 A DEPRESSIVOS TODOS OS OUTROS;SIM;;
Erenumabe;ERENUMABE;ANTAGONISTAS CGRP ANTI ENXAQUECA;N02C2 ANTAGONISTAS CGRP ANTI ENXAQUECA;SIM;;
Fremanezumabe;FREMANEZUMABE;ANTAGONISTAS CGRP ANTI ENXAQUECA;N02C2 ANTAGONISTAS CGRP ANTI ENXAQUECA;SIM;;
Galcanezumabe;GALCANEZUMABE;ANTAGONISTAS CGRP ANTI ENXAQUECA;N02C2 ANTAGONISTAS CGRP ANTI ENXAQUECA;SIM;;
Rimegepanto;RIMEGEPANTO;ANTAGONISTAS CGRP ANTI ENXAQUECA;N02C2 ANTAGONISTAS CGRP ANTI ENXAQUECA;SIM;;
Dihidroergotamina;DIHIDROERGOTAMINA;TODAS AS OUTRAS PREPARACOES ANTI ENXAQUECA;N02C9 TODAS AS OUTRAS PREPARACOES ANTI ENXAQUECA;SIM;;
Tartarato de ergotamina;TARTARATO DE ERGOTAMINA;TODAS AS OUTRAS PREPARACOES ANTI ENXAQUECA;N02C9 TODAS AS OUTRAS PREPARACOES ANTI ENXAQUECA;SIM;;
Naratriptana;NARATRIPTANA;AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;N02C1 AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;SIM;;
