EST_MER_6;MARCA;FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;ACECLOFENACO LEG;EMS PHARMA
R05C EXPECTORANTES;ACECLOFENACO LEG;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;ACECLOFENACO MUL;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;ACECLOFENACO NVQ;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;ACEFLOR NVQ;EMS PHARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ACET DE CLORMADINONA ETINILESTRADIOL LEG;EMS PHARMA
D07A CORTICOIDES TOPICOS PUROS;ACETATO DE HIDROCORTISONA EMS;EMS PHARMA
R05C EXPECTORANTES;ACETILCISTEINA EMS;EMS PHARMA
R05C EXPECTORANTES;ACETILCISTEINA GER;EMS PHARMA
R05C EXPECTORANTES;ACETILCISTEINA LEG;EMS PHARMA
A01A ESTOMATOLOGICOS;ACETON TRIANCIN LEG;EMS PHARMA
A01A ESTOMATOLOGICOS;ACETONIDA DE TRIANCINOLONA EMS;EMS PHARMA
A01A ESTOMATOLOGICOS;ACETONIDA DE TRIANCINOLONA GER;EMS PHARMA
D06D PRODUTOS PARA INFECOES VIRAIS;ACICLOVIR EMS;EMS PHARMA
J05B OUTROS ANTIVIRAIS;ACICLOVIR EMS;EMS PHARMA
D06D PRODUTOS PARA INFECOES VIRAIS;ACICLOVIR GER;EMS PHARMA
D06D PRODUTOS PARA INFECOES VIRAIS;ACICLOVIR MUL;EMS PHARMA
J05B OUTROS ANTIVIRAIS;ACICLOVIR MUL;EMS PHARMA
J05B OUTROS ANTIVIRAIS;ACICLOVIR NVQ;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;ACIDO ACETILSALICILICO EMS;EMS PHARMA
N02B NAO NARCOTICOS ANTIPIRETICOS;ACIDO ACETILSALICILICO EMS;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;ACIDO FUSIDICO VAL DE BETAMETASONA LEG;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;ACIDO FUSIDICO VAL DE BETAMETASONA MUL;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;ACIDO MEFENAMICO EMS;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;ACIDO MEFENAMICO GER;EMS PHARMA
B02A ANTIFIBRINOLITICOS;ACIDO TRANEXAMICO EMS;EMS PHARMA
B02A ANTIFIBRINOLITICOS;ACIDO TRANEXAMICO LEG;EMS PHARMA
D10B PREPARACOES ANTIACNE ORAIS;ACNOVA EMS;EMS PHARMA
D10B PREPARACOES ANTIACNE ORAIS;ACNOVA USK;EMS PHARMA
D10A PREPARACOES ANTIACNE TOPICOS;ADAPALENO EMS;EMS PHARMA
D10A PREPARACOES ANTIACNE TOPICOS;ADAPALENO GER;EMS PHARMA
D10A PREPARACOES ANTIACNE TOPICOS;ADAPALENO LEG;EMS PHARMA
S01X OUTROS OFTALMOLOGICOS;ADAPTIS EMS;EMS PHARMA
S01K PRODUTOS PARA OLHO SECO;ADAPTIS LEG;EMS PHARMA
S01X OUTROS OFTALMOLOGICOS;ADAPTIS LEG;EMS PHARMA
S01K PRODUTOS PARA OLHO SECO;ADAPTIS OFV;EMS PHARMA
J01X OUTROS ANTI BACTERIANOS;ADILOZ EMS;EMS PHARMA
A10K GLITAZONA A DIABETICOS;AGLITIL SGM;EMS PHARMA
A10L INIB ALFA GLUCOSIDAS;AGLUCOSE BRA;EMS PHARMA
L04X OUTROS IMUNOSSUPRESORES;AGRYLIN EMS;EMS PHARMA
G04E PRODUTOS PARA DISFUNCAO ERETIL;AH ZUL LEG;EMS PHARMA
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;ALBENDAZOL EMS;EMS PHARMA
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;ALBENDAZOL GER;EMS PHARMA
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;ALBENDAZOL LEG;EMS PHARMA
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;ALBENDAZOL NVQ;EMS PHARMA
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;ALCACHOFRA MUL;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;ALENDOSSEO EMS;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;ALENDRONATO DE SODIO EMS;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;ALENDRONATO DE SODIO LEG;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;ALENDRONATO DE SODIO NVQ;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;ALENDRONATO SODIO EMS;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;ALENDRONATO SODIO GER;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;ALERADINA NVQ;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;ALERGALIV EMS;EMS PHARMA
R01B DESCONGESTIONANTES NASAIS SISTEMICOS;ALERGALIV LEG;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;ALERGALIV LEG;EMS PHARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ALGEAC ENAEST EMS;EMS PHARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ALGEAC ENAEST LEG;EMS PHARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ALGESTONA ACETOFENIDA ENANTATO DE ESTRADIOL GER;EMS PHARMA
A02A ANTIACIDOS ANTIFISETICOS;ALKAGEL EMS;EMS PHARMA
S01L PREPARADOS PARA USO COM LENTES DE CONTATO;ALLCLEAN LEG;EMS PHARMA
R01B DESCONGESTIONANTES NASAIS SISTEMICOS;ALLEXOFEDRIN EMS;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;ALLEXOFEDRIN EMS;EMS PHARMA
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;ALLOVITA LEG;EMS PHARMA
N05C TRANQUILIZANTES;ALPRAZOLAM EMS;EMS PHARMA
N05C TRANQUILIZANTES;ALPRAZOLAM GER;EMS PHARMA
N05C TRANQUILIZANTES;ALPRAZOLAM LEG;EMS PHARMA
N05C TRANQUILIZANTES;ALPRAZOLAM NVQ;EMS PHARMA
N05C TRANQUILIZANTES;ALPRAZOLAM SGM;EMS PHARMA
R05C EXPECTORANTES;AMBROXOL EMS;EMS PHARMA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;AMILORIDA EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;AMITRIPTILINA EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;AMITRIPTILINA GER;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;AMITRIPTILINA LR8;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOX EMS;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA CLAVULANATO EMS;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA CLAVULANATO GER;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA CLAVULANATO LEG;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA EMS;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA GER;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA LEG;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA MUL;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA NVQ;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXILINA GER;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMPICILAB MUL;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMPICILINA EMS;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMPICILINA MUL;EMS PHARMA
J01C PENICILINAS DE AMPLO ESPECTRO;AMPICILINA NVQ;EMS PHARMA
L02B ANTAGONISTAS DE HORMONIOS CITOSTATICOS;ANASTROLIBBS NVQ;EMS PHARMA
N07D PRODUTOS ANTI ALZHEIMER;ANASTROZOL EMS;EMS PHARMA
C08A ANTAGONISTAS DO CALCIO PUROS;ANLO MUL;EMS PHARMA
D06D PRODUTOS PARA INFECOES VIRAIS;ANTIVIRAX EMS;EMS PHARMA
J05B OUTROS ANTIVIRAIS;ANTIVIRAX EMS;EMS PHARMA
B01F INIBIDOR DIRETO DO FATOR XA;APIXABANA EMS;EMS PHARMA
B01F INIBIDOR DIRETO DO FATOR XA;APIXABANA GER;EMS PHARMA
A07G REPOSITORES ELECTROLITICOS ORAIS;AQUABEN MUL;EMS PHARMA
R05C EXPECTORANTES;AREMAZ MUL;EMS PHARMA
N05A ANTIPSICOTICOS;ARIPIPRAZOL EMS;EMS PHARMA
N05A ANTIPSICOTICOS;ARIPIPRAZOL MUL;EMS PHARMA
N05A ANTIPSICOTICOS;ARIPIPRAZOL NVQ;EMS PHARMA
N05A ANTIPSICOTICOS;ARPEJO EMS;EMS PHARMA
D10B PREPARACOES ANTIACNE ORAIS;ARTEMIDIS EMS;EMS PHARMA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;ATACAND GER;EMS PHARMA
C08A ANTAGONISTAS DO CALCIO PUROS;ATELOP BRA;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLAB MUL;EMS PHARMA
C07B ASSOCIACOES DE BETA BLOQUEADORES;ATENOLOL CLORTALIDONA EMS;EMS PHARMA
C07B ASSOCIACOES DE BETA BLOQUEADORES;ATENOLOL CLORTALIDONA GER;EMS PHARMA
C07B ASSOCIACOES DE BETA BLOQUEADORES;ATENOLOL CLORTALIDONA LEG;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLOL EMS;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLOL GER;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLOL LEG;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLOL MUL;EMS PHARMA
D05X OUTROS PRODUTOS N/CORTICOIDES P DISTURB INFLAM;ATOBACH GER;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ATORVASTATINA EMS;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ATORVASTATINA GER;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ATORVASTATINA LEG;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ATORVASTATINA NVQ;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;AZI EMS;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;AZITROGRAN LEG;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;AZITROLAB MUL;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;AZITROMICINA EMS;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;AZITROMICINA GER;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;AZITROMICINA NVQ;EMS PHARMA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;BALSAMO BENGUE EMS;EMS PHARMA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;BALSAMOBENGUE EMS;EMS PHARMA
J01E ASSOCIACOES DE TRIMETOPRIM E SIMILARES;BENECTRIN LEG;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;BENEVRAN LEG;EMS PHARMA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;BENEVRAN LEG;EMS PHARMA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;BENGPRO;EMS PHARMA
M03B RELAXANTES MUSCULARES ACAO CENTRAL;BENZIFLEX EMS;EMS PHARMA
P03A ECTOPARASITICIDAS INCL ESCAB;BENZOAX NEO;EMS PHARMA
C08A ANTAGONISTAS DO CALCIO PUROS;BESILATO DE ANLODIPINO EMS;EMS PHARMA
C08A ANTAGONISTAS DO CALCIO PUROS;BESILATO DE ANLODIPINO NVQ;EMS PHARMA
C08A ANTAGONISTAS DO CALCIO PUROS;BESILATO DE LEVANLODIPINO EMS;EMS PHARMA
C08A ANTAGONISTAS DO CALCIO PUROS;BESILATO DE LEVANLODIPINO GER;EMS PHARMA
D05A PRODUTOS ANTIPSORIASE TOPICOS;BETAME+AC.SALICI NVQ;EMS PHARMA
H02A CORTICOSTEROIDES PUROS;BETAMENTASONA FRS;EMS PHARMA
H02A CORTICOSTEROIDES PUROS;BETAMETASONA EMS;EMS PHARMA
S01C COMBINACOES DE ANTI INFLAMATORIOS OFTALMICOS E ANT;BETAMETASONA EMS;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;BETAMETASONA GETAMICINA TOLNAFTATO CLIOQUINOL EMS;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;BETAMETASONA GETAMICINA TOLNAFTATO CLIOQUINOL GER;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;BETAMETASONA GETAMICINA TOLNAFTATO CLIOQUINOL NVQ;EMS PHARMA
H02A CORTICOSTEROIDES PUROS;BETROSPAM LEG;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;BEXAI EMS;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;BEZAFIBRATO EMS;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;BEZAFIBRATO GER;EMS PHARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;BEZAFIBRATO LEG;EMS PHARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;BEZIANY NVQ;EMS PHARMA
S01C COMBINACOES DE ANTI INFLAMATORIOS OFTALMICOS E ANT;BIANCORT LEG;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;BILASTINA EMS;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;BILASTINA GER;EMS PHARMA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;BIMATOPROSTA COLIRIO EMS;EMS PHARMA
S01K PRODUTOS PARA OLHO SECO;BIMATOPROSTA COLIRIO EMS;EMS PHARMA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;BIMATOPROSTA COLIRIO GER;EMS PHARMA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;BIOFLADEX EMS;EMS PHARMA
R02A PREPARACOES PARA GARGANTA;BISMU JET LEG;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;BISOPROLOL NVQ;EMS PHARMA
R05C EXPECTORANTES;BISURAN EMS;EMS PHARMA
M05B REGULADORES DO CALCIO OSSEO;BONAGRAN LEG;EMS PHARMA
A12A CALCIO;BONECAL D EMS;EMS PHARMA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;BRAMICAR EMS;EMS PHARMA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;BRAMICAR EMS;EMS PHARMA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;BRAMICAR HCT EMS;EMS PHARMA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;BRASART EMS;EMS PHARMA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;BRASART EMS;EMS PHARMA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;BRIXAG LEG;EMS PHARMA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;BRIXAG OFV;EMS PHARMA
A03D ASSOCIACOES COM ANALGESICOS;BROM ESCOPOLAMINA DIPIRONA SODICA EMS;EMS PHARMA
N05C TRANQUILIZANTES;BROMAZEPAM EMS;EMS PHARMA
N05C TRANQUILIZANTES;BROMAZEPAM GER;EMS PHARMA
R03K ANTICOLINERGICOS SIMPLES;BROMETO DE IPRATROPIO EMS;EMS PHARMA
R03K ANTICOLINERGICOS SIMPLES;BROMETO DE IPRATROPIO GER;EMS PHARMA
R03K ANTICOLINERGICOS SIMPLES;BROMETO DE IPRATROPIO NVQ;EMS PHARMA
A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;BROMETO DE PINAVERIO EMS;EMS PHARMA
N07D PRODUTOS ANTI ALZHEIMER;BROMIDRATO DE GALANTAMINA NVQ;EMS PHARMA
R05C EXPECTORANTES;BROMIL EMS;EMS PHARMA
N05A ANTIPSICOTICOS;BROMOPIRIN EMS;EMS PHARMA
A03F GASTROPROCINETICOS;BROMOPRIDA EMS;EMS PHARMA
A03F GASTROPROCINETICOS;BROMOPRIDA GER;EMS PHARMA
A03F GASTROPROCINETICOS;BROMOPRIDA LEG;EMS PHARMA
A03F GASTROPROCINETICOS;BROMOPRIDA NVQ;EMS PHARMA
R05C EXPECTORANTES;BRONCOLEX LEG;EMS PHARMA
R05C EXPECTORANTES;BRONDELIX EMS;EMS PHARMA
R05C EXPECTORANTES;BRONQUITOSS LEG;EMS PHARMA
R05C EXPECTORANTES;BRONXINA LEG;EMS PHARMA
R01A PREPARACOES NASAIS TOPICAS;BUDESONIDA EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;BUPIUM EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;BUPIUM XL EMS;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;BUPROVIL MUL;EMS PHARMA
N02B NAO NARCOTICOS ANTIPIRETICOS;BUPROVIL MUL;EMS PHARMA
G02D INIBIDORES DA PROLACTINA;CABERGOLINA GER;EMS PHARMA
G02D INIBIDORES DA PROLACTINA;CABERGOLINA NVQ;EMS PHARMA
A12A CALCIO;CALCINOL EMS;EMS PHARMA
G01A TRICOMONICIDAS;CANDERM LEG;EMS PHARMA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;CANDESARTANA GER;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CANDIGRAN LEG;EMS PHARMA
C09A INIBIDORES ACE PUROS;CAPTOPRIL EMS;EMS PHARMA
C09A INIBIDORES ACE PUROS;CAPTOPRIL GER;EMS PHARMA
C09A INIBIDORES ACE PUROS;CAPTOPRIL MUL;EMS PHARMA
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;CAPY EMS;EMS PHARMA
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;CAPY USK;EMS PHARMA
N03A ANTICONVULSIVANTES;CARBAMAZEPINA EMS;EMS PHARMA
N03A ANTICONVULSIVANTES;CARBAMAZEPINA GER;EMS PHARMA
R05C EXPECTORANTES;CARBOCISTEINA EMS;EMS PHARMA
R05C EXPECTORANTES;CARBOCISTEINA NVQ;EMS PHARMA
R05C EXPECTORANTES;CARBOCISTEINA XAROPE EMS;EMS PHARMA
R05C EXPECTORANTES;CARBOCISTEINA XAROPE GER;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARDBET BIS;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARDBET NVQ;EMS PHARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;CARELI EMS;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEDILOL EMS;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEDILOL GER;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEDILOL LEG;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEDILOL NVQ;EMS PHARMA
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEGRAN LEG;EMS PHARMA
J01D CEFALOSPORINAS;CECLOR EMS;EMS PHARMA
J01D CEFALOSPORINAS;CECLOR GER;EMS PHARMA
J01D CEFALOSPORINAS;CEDROXIL LEG;EMS PHARMA
J01D CEFALOSPORINAS;CEFACLOR GER;EMS PHARMA
J01D CEFALOSPORINAS;CEFADROXILA EMS;EMS PHARMA
J01D CEFALOSPORINAS;CEFAGEL MUL;EMS PHARMA
J01D CEFALOSPORINAS;CEFALEXINA EMS;EMS PHARMA
J01D CEFALOSPORINAS;CEFALEXINA GER;EMS PHARMA
J01D CEFALOSPORINAS;CEFALEXINA LEG;EMS PHARMA
J01D CEFALOSPORINAS;CEFALEXINA NVQ;EMS PHARMA
J01D CEFALOSPORINAS;CEFTRIAXONA EMS;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;CELECOXIBE EMS;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;CELECOXIBE GER;EMS PHARMA
H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;CELERG LEG;EMS PHARMA
H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;CELERGIN EMS;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CELOCORT EMS;EMS PHARMA
A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS;CENEVIT LEG;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOC+BETAM+NEO. LR8 LEG;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOC+BETAM+NEO. NVQ;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL BETAMETASONA NEOMICINA EMS;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL BETAMETASONA NEOMICINA GER;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL BETAMETASONA NEOMICINA NVQ;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL DIPR DE BETAMETASONA EMS;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL DIPR DE BETAMETASONA NVQ;EMS PHARMA
D01A ANTIMICOTICOS DERMATOLOGICOS;CETOCONAZOL EMS;EMS PHARMA
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;CETOCONAZOL EMS;EMS PHARMA
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;CETOCONAZOL GER;EMS PHARMA
D01A ANTIMICOTICOS DERMATOLOGICOS;CETOCONAZOL MUL;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;CETOPROFENO EMS;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;CETOPROFENO GER;EMS PHARMA
M01A ANTI REUMATICOS SEM ESTEROIDES;CETOPROFENO LEG;EMS PHARMA
R06A ANTIHISTAMINICOS SISTEMICOS;CETOROLACO GER;EMS PHARMA
J01G FLUOROQUINOLONAS;CICLATRY MUL;EMS PHARMA
D01A ANTIMICOTICOS DERMATOLOGICOS;CICLOPIROX OLAMINA EMS;EMS PHARMA
D01A ANTIMICOTICOS DERMATOLOGICOS;CICLOPIROX OLAMINA GER;EMS PHARMA
H02A CORTICOSTEROIDES PUROS;CICLORTEN EMS;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CILOSTAZOL EMS;EMS PHARMA
A02B ANTIULCEROSOS;CIMETIDINA EMS;EMS PHARMA
J01G FLUOROQUINOLONAS;CIPROCILIN LEG;EMS PHARMA
J01G FLUOROQUINOLONAS;CIPROFLONAX EMS;EMS PHARMA
J01G FLUOROQUINOLONAS;CIPROFLONAX NVQ;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CITALOPRAM EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CITALOPRAM GER;EMS PHARMA
G04E PRODUTOS PARA DISFUNCAO ERETIL;CITRATO DE SILDENAFILA EMS;EMS PHARMA
G04E PRODUTOS PARA DISFUNCAO ERETIL;CITRATO DE SILDENAFILA GER;EMS PHARMA
G04E PRODUTOS PARA DISFUNCAO ERETIL;CITRATO DE SILDENAFILA LEG;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;CLABAT EMS;EMS PHARMA
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;CLAQUINONA GER;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;CLARITROMICINA EMS;EMS PHARMA
A10H SULFONILOUREIA A DIABETICOS;CLAZI XR EMS;EMS PHARMA
A10H SULFONILOUREIA A DIABETICOS;CLAZI XR GER;EMS PHARMA
S01R ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES;CLEANKINOL LEG;EMS PHARMA
J01F MACROLIDEOS E SIMILARES;CLINDAMICINA GER;EMS PHARMA
G03X OUT HORMONIOS SEXUAIS E PRODS SIMILARES;CLINDELLA NVQ;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLO BRA;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLO EMS;EMS PHARMA
D07A CORTICOIDES TOPICOS PUROS;CLOBETASOL MUL;EMS PHARMA
D07B ASSOCIACOES DE CORTICOIDES;CLOBETASOL MUL;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOMIPRAMINA LEG;EMS PHARMA
M03B RELAXANTES MUSCULARES ACAO CENTRAL;CLON DE LISINA CLOR DE CICLOBENZAPRIN EMS;EMS PHARMA
N03A ANTICONVULSIVANTES;CLONAZEPAM EMS;EMS PHARMA
N03A ANTICONVULSIVANTES;CLONAZEPAM GER;EMS PHARMA
N03A ANTICONVULSIVANTES;CLONAZEPAM LEG;EMS PHARMA
N03A ANTICONVULSIVANTES;CLONAZEPAM NVQ;EMS PHARMA
R05D ANTITUSSIGENOS;CLOPE EMS;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIDO GRAN LEG;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIDOGREL EMS;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIDOGREL LEG;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIDOGREL NVQ;EMS PHARMA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIPLAX NVQ;EMS PHARMA
M03B RELAXANTES MUSCULARES ACAO CENTRAL;CLOR CICLOBENZA GER;EMS PHARMA
R05C EXPECTORANTES;CLOR DE AMBROXOL EMS;EMS PHARMA
R05C EXPECTORANTES;CLOR DE AMBROXOL GER;EMS PHARMA
R05C EXPECTORANTES;CLOR DE AMBROXOL NVQ;EMS PHARMA
R05C EXPECTORANTES;CLOR DE AMBROXOL XAROPE EMS;EMS PHARMA
C03A DIURETICOS;CLOR DE AMILORIDA HIDROCLOROTIAZIDA EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE AMITRIPTILINA EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE AMITRIPTILINA GER;EMS PHARMA
R05C EXPECTORANTES;CLOR DE BROMEXINA EMS;EMS PHARMA
R05C EXPECTORANTES;CLOR DE BROMEXINA GER;EMS PHARMA
R05C EXPECTORANTES;CLOR DE BROMEXINA NVQ;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE BUPROPIONA EMS;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE BUPROPIONA GER;EMS PHARMA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE BUPROPIONA LEG;EMS PHARMA
