EST_MER_6;MARCA;FABRICANTE
H03A PREPARADOS DE TIREOIDE;SYNTHROID ABB;ABBOTT
C04A VASOTERAPIA CEREBRAL E PERIFERICA;TANAKAN ABB;ABBOTT
R03B XANTINAS;TEOLONG ABB;ABBOTT
C05B TERAPIA VARICOSA TOPICA;TROMBOFOB ABB;ABBOTT
C05C TERAPIA VARICOSA SISTEMICA;VENOCUR ABB;ABBOTT
R05D ANTITUSSIGENOS;VIBRAL ABB;ABBOTT
N02D PROD GABAPENTINOIDES;ZEROPIN ABB;ABBOTT
L01X OUTROS ANTINEOPLASICOS;EPKINLY ABV;ABBVIE
L04B MEDICAMENTOS ANTI TNF;HUMIRA ABV;ABBVIE
L04D INIBIDORES DE JAK;RINVOQ ABV;ABBVIE
L04C INIBIDORES DE INTERLEUCINA;SKYRIZI ABV;ABBVIE
L01X OUTROS ANTINEOPLASICOS;VENCLEXTA ABV;ABBVIE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;ABELHINHA;ABELHINHA
J01D CEFALOSPORINAS;CEFALEXINA ABL;ABL BRASIL
J01D CEFALOSPORINAS;CEFTRIAXONA ABL;ABL BRASIL
J01F MACROLIDEOS E SIMILARES;CLARITROMICINA ABL;ABL BRASIL
J01P OUTROS BETA LACTAMNICOS EXCLUINDO PENICILINAS;MEROPENEM ABL;ABL BRASIL
C09A INIBIDORES ACE PUROS;ABEPOTEN ABN;ABNAT
L01H ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE;ACCORD;ACCORD FARMACEUTICA
L02B ANTAGONISTAS DE HORMONIOS CITOSTATICOS;BICALUTAMIDA ACR;ACCORD FARMACEUTICA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;BISSUL DE CLOPIDOGREL ACR;ACCORD FARMACEUTICA
L01H ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE;EVEROLIMO ACR;ACCORD FARMACEUTICA
N07X TODAS OUTRAS DROGAS PARA SNC;FAMPRIDINA ACR;ACCORD FARMACEUTICA
N05A ANTIPSICOTICOS;HEMIFUMARATO DE QUETIAPINA ACR;ACCORD FARMACEUTICA
A10J BIGUANIDA A DIABETICOS;METFORMINA ACR;ACCORD FARMACEUTICA
L04X OUTROS IMUNOSSUPRESORES;MICOFENOLATO DE MOFETILA ACR;ACCORD FARMACEUTICA
L04X OUTROS IMUNOSSUPRESORES;MICOFENOLATO DE SODIO ACR;ACCORD FARMACEUTICA
A04A ANTIEMETICOS E ANTINAUSEOSOS;PALOCYT ACR;ACCORD FARMACEUTICA
B01F INIBIDOR DIRETO DO FATOR XA;RIVAROXABANA ACR;ACCORD FARMACEUTICA
N03A ANTICONVULSIVANTES;TOPIRAMATO ACR;ACCORD FARMACEUTICA
P03A ECTOPARASITICIDAS INCL ESCAB;ACARSAN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;ACEBROFILINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;ACETILCISTEINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A12C OUTROS SUPLEMENTOS MINERAIS;ACHE;ACHE LABORATORIOS FARMACEUTICOS SA
H02A CORTICOSTEROIDES PUROS;ACHE;ACHE LABORATORIOS FARMACEUTICOS SA
N03A ANTICONVULSIVANTES;ACHE;ACHE LABORATORIOS FARMACEUTICOS SA
S01K PRODUTOS PARA OLHO SECO;ACHE;ACHE LABORATORIOS FARMACEUTICOS SA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;ACHEFLAN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D06D PRODUTOS PARA INFECOES VIRAIS;ACICLOVIR ACH;ACHE LABORATORIOS FARMACEUTICOS SA
J05B OUTROS ANTIVIRAIS;ACICLOVIR ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;ACIDO MEFENAMICO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D07A CORTICOIDES TOPICOS PUROS;ADINOS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D07B ASSOCIACOES DE CORTICOIDES;ADINOS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A02B ANTIULCEROSOS;ADIPEPT ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R03A AGONISTAS BETA 2;ALENIA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R03F AGONISTAS BETA 2 E CORTICOIDES COMBINADO;ALENIA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;ALGILIVE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ALLESTRA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N05C TRANQUILIZANTES;ALPRAZOLAM ACH;ACHE LABORATORIOS FARMACEUTICOS SA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA CLAVULANATO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D04A ANTIPRURIGINOSOS,INCLUSIVE ANTIHISTAMINICOS ANESTE;ANDANTOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;ANDRUM ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C07A AGENTES BETA BLOQUEADORES PUROS;ANGIPRESS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C07B ASSOCIACOES DE BETA BLOQUEADORES;ANGIPRESS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05D ANTITUSSIGENOS;ANTUX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N05A ANTIPSICOTICOS;AQUARELA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N05A ANTIPSICOTICOS;ARIPIPRAZOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N05A ANTIPSICOTICOS;ARISTAB ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A12C OUTROS SUPLEMENTOS MINERAIS;ARTROGEN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A12C OUTROS SUPLEMENTOS MINERAIS;ARTROGEN PLUS;ACHE LABORATORIOS FARMACEUTICOS SA
A12C OUTROS SUPLEMENTOS MINERAIS;ARTROLIVE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;ARTROLIVE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M05X OUTROS PRODUTOS SISTEMA MUSCULO ESQUELETICO;ARTROLIVE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;ARTROSIL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A07X OUTROS PRODUTOS PARA DESORDENS INTESTINAIS;AVIDE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N05A ANTIPSICOTICOS;AXONIUM ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A11D VITAMINA B1 E ASSOCIACOES;BENFOTIAMINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;BETADINE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C08B ANTAGONISTAS DO CALCIO ASSOCIADOS;BETALOR ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D07B ASSOCIACOES DE CORTICOIDES;BETAMETASONA GETAMICINA TOLNAFTATO CLIOQUINOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A07F MICROORGANISMOS ANTIDIARREICOS;BIO FEMINA;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;BIOFENAC ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;BIOFENAC ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;BIOFLAC ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS;BIOMAG ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A12C OUTROS SUPLEMENTOS MINERAIS;BIOMAG ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A07F MICROORGANISMOS ANTIDIARREICOS;BIOSINTETICA;ACHE LABORATORIOS FARMACEUTICOS SA
C01E NITRITOS E NITRATOS;BIOSINTETICA;ACHE LABORATORIOS FARMACEUTICOS SA
C07B ASSOCIACOES DE BETA BLOQUEADORES;BIOSINTETICA;ACHE LABORATORIOS FARMACEUTICOS SA
N03A ANTICONVULSIVANTES;BIOSINTETICA;ACHE LABORATORIOS FARMACEUTICOS SA
R06A ANTIHISTAMINICOS SISTEMICOS;BIOSINTETICA;ACHE LABORATORIOS FARMACEUTICOS SA
R06A ANTIHISTAMINICOS SISTEMICOS;BIXLYN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;BRAVAN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;BRAVAN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;BRAVAN HCT ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N05C TRANQUILIZANTES;BROMAZEPAM ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R03K ANTICOLINERGICOS SIMPLES;BROMETO DE IPRATROPIO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A03F GASTROPROCINETICOS;BROMOPRIDA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;BRONDILAT ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R01A PREPARACOES NASAIS TOPICAS;BUSONID ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R03D CORTICOIDES;BUSONID ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N03A ANTICONVULSIVANTES;CANABIDIOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;CANDESARTANA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
